# SCM estimates of absolute mRNA and protein levels, scaled to (average) molecules per haploid cell, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# sd.mrna = Standard deviation on estimates of log-transformed mRNA levels (mRNA lower bound = exp(log(mrna)-sd.mrna)), mRNA upper bound = exp(log(mrna)+sd.mrna)))
# sd.prot = Standard deviation on estimates of log-transformed protein levels (protein lower bound = exp(log(prot)-sd.prot)), protein upper bound = exp(log(prot)+sd.prot)))
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	sd.mrna	sd.prot	n.mrna	n.prot
YBL010C		1.7724	472.075	0.235	0.308	10	3
YBL011W	SCT1	4.4151	2038.206	0.232	0.236	11	5
YBL013W	FMT1	1.0357	292.535	0.289	0.273	6	3
YBL014C	RRN6	1.9349	247.705	0.271	0.329	10	1
YBL015W	ACH1	4.2737	2531.562	0.265	0.215	11	8
YBL016W	FUS3	6.0320	4851.388	0.262	0.249	12	6
YBL017C	PEP1	7.1435	5210.855	0.264	0.220	12	8
YBL018C	POP8	3.0806	1069.412	0.228	0.313	8	2
YBL019W	APN2	0.9790	160.916	0.280	0.347	6	1
YBL020W	RFT1	3.0048	396.217	0.267	0.388	11	1
YBL021C	HAP3	2.6543	861.377	0.228	0.271	10	2
YBL022C	PIM1	5.8111	3151.802	0.245	0.207	11	7
YBL023C	MCM2	2.5719	1448.162	0.229	0.216	11	6
YBL024W	NCL1	6.3454	9065.193	0.265	0.258	10	9
YBL025W	RRN10	1.9738	287.036	0.284	0.359	11	1
YBL026W	LSM2	6.1366	3144.531	0.255	0.232	9	4
YBL027W	RPL19B	74.0439	109241.313	0.262	0.223	12	4
YBL028C		8.1516	6791.531	0.242	0.222	11	5
YBL029C-A		1.7039	1070.178	0.290	0.196	5	4
YBL029W		1.0603	126.533	0.305	0.374	8	0
YBL030C	PET9	16.9434	6370.777	0.232	0.360	12	5
YBL031W	SHE1	1.3421	197.318	0.294	0.316	10	2
YBL032W	HEK2	8.7951	10539.623	0.268	0.252	11	6
YBL033C	RIB1	4.9193	3883.540	0.258	0.229	11	6
YBL034C	STU1	1.6966	422.824	0.289	0.317	8	5
YBL035C	POL12	3.1237	1674.730	0.247	0.223	10	5
YBL036C		6.4429	4638.546	0.258	0.239	10	7
YBL037W	APL3	2.4688	1166.123	0.255	0.248	9	5
YBL038W	MRPL16	4.8119	1494.408	0.274	0.266	12	3
YBL039C	URA7	16.1788	26007.505	0.266	0.231	12	8
YBL039W-B		0.4887	50.980	0.353	0.412	4	1
YBL040C	ERD2	9.1659	9549.427	0.266	0.266	12	3
YBL041W	PRE7	10.8699	3052.181	0.274	0.373	12	4
YBL042C	FUI1	5.5399	3614.688	0.281	0.262	11	3
YBL043W	ECM13	0.9114	94.427	0.266	0.431	11	0
YBL044W		0.2679	16.256	0.325	0.476	6	0
YBL045C	COR1	9.7710	8947.537	0.251	0.221	11	10
YBL046W	PSY4	2.7765	1319.347	0.240	0.267	10	4
YBL047C	EDE1	8.5653	7687.578	0.272	0.251	12	8
YBL049W	MOH1	0.6962	49.088	0.305	0.415	9	0
YBL050W	SEC17	7.0600	1978.629	0.276	0.355	12	5
YBL051C	PIN4	8.1354	3464.696	0.257	0.216	12	6
YBL052C	SAS3	2.3235	348.886	0.279	0.420	9	2
YBL054W	TOD6	2.4471	659.758	0.280	0.275	8	4
YBL055C		3.2228	1032.348	0.243	0.211	11	4
YBL056W	PTC3	9.1591	8380.692	0.235	0.268	11	6
YBL057C	PTH2	4.4690	1521.485	0.239	0.244	11	4
YBL058W	SHP1	8.9527	5053.602	0.255	0.236	11	8
YBL059C-A	CMC2	0.8773	214.621	0.298	0.316	4	4
YBL059W		1.6906	376.164	0.245	0.291	9	2
YBL060W	YEL1	1.8431	272.320	0.253	0.379	11	2
YBL061C	SKT5	4.7106	2486.499	0.246	0.219	9	6
YBL063W	KIP1	1.3690	179.545	0.285	0.312	9	3
YBL064C	PRX1	6.2766	4373.230	0.289	0.265	10	7
YBL066C	SEF1	1.3652	194.065	0.272	0.338	9	3
YBL067C	UBP13	3.0377	471.678	0.237	0.314	11	3
YBL068W	PRS4	7.7485	5343.123	0.231	0.222	12	6
YBL069W	AST1	2.7096	894.574	0.248	0.280	9	4
YBL071C-B		0.2063	10.148	0.402	0.586	3	0
YBL071W-A	KTI11	2.6408	3578.465	0.267	0.237	5	2
YBL072C	RPS8A	48.5522	56496.240	0.304	0.237	10	5
YBL074C	AAR2	1.2764	578.670	0.272	0.298	8	3
YBL075C	SSA3	2.2973	1320.079	0.251	0.293	11	5
YBL076C	ILS1	20.8876	37663.618	0.234	0.191	11	9
YBL078C	ATG8	3.2351	1078.484	0.240	0.316	10	3
YBL079W	NUP170	4.6405	2192.887	0.250	0.242	11	6
YBL080C	PET112	1.1249	326.537	0.331	0.337	8	3
YBL081W		3.7698	655.582	0.295	0.366	10	1
YBL082C	ALG3	2.5814	435.778	0.294	0.374	11	2
YBL084C	CDC27	1.4505	552.762	0.287	0.207	8	5
YBL085W	BOI1	4.6768	1701.041	0.262	0.234	11	8
YBL086C		1.7896	388.583	0.275	0.316	10	3
YBL087C	RPL23A	26.2385	13327.534	0.303	0.277	10	4
YBL088C	TEL1	1.2940	227.876	0.288	0.337	10	3
YBL089W	AVT5	1.2708	161.432	0.307	0.381	8	1
YBL090W	MRP21	2.9262	679.022	0.262	0.296	10	2
YBL091C	MAP2	10.4264	3008.256	0.262	0.235	12	8
YBL091C-A	SCS22	1.7835	330.706	0.264	0.281	8	2
YBL092W	RPL32	64.3767	36456.053	0.268	0.300	12	7
YBL093C	ROX3	5.3474	1416.539	0.244	0.247	10	4
YBL095W		1.7377	415.717	0.266	0.316	9	3
YBL097W	BRN1	0.7633	234.459	0.331	0.336	7	3
YBL098W	BNA4	1.7174	450.794	0.309	0.303	9	3
YBL099W	ATP1	19.7689	32031.113	0.266	0.240	12	10
YBL100W-A		NA	NA	NA	NA	0	0
YBL100W-B		0.1137	4.547	0.433	0.441	1	0
YBL100W-C		0.0948	3.482	0.412	0.458	2	0
YBL101C	ECM21	3.3406	1009.182	0.244	0.224	11	6
YBL102W	SFT2	4.9564	1428.487	0.252	0.222	11	4
YBL103C	RTG3	2.0858	594.697	0.221	0.283	11	3
YBL104C	SEA4	2.3861	728.458	0.257	0.238	11	4
YBL105C	PKC1	3.0052	1383.034	0.269	0.254	10	5
YBL106C	SRO77	0.8757	89.053	0.283	0.428	9	1
YBL107C	MIX23	3.2649	612.173	0.225	0.296	11	2
YBL108C-A	PAU9	0.0751	2.268	0.396	0.452	1	0
YBL111C		0.5665	97.197	0.317	0.336	5	1
YBL112C		0.4719	29.422	0.340	0.436	6	0
