# SCM estimates of absolute mRNA and protein levels, scaled to (average) molecules per haploid cell, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# sd.mrna = Standard deviation on estimates of log-transformed mRNA levels (mRNA lower bound = exp(log(mrna)-sd.mrna)), mRNA upper bound = exp(log(mrna)+sd.mrna)))
# sd.prot = Standard deviation on estimates of log-transformed protein levels (protein lower bound = exp(log(prot)-sd.prot)), protein upper bound = exp(log(prot)+sd.prot)))
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	sd.mrna	sd.prot	n.mrna	n.prot
YJL225C		1.4721	142.532	0.318	0.431	5	0
YJR001W	AVT1	5.8189	1359.167	0.244	0.263	13	3
YJR002W	MPP10	4.5707	1331.525	0.269	0.380	12	5
YJR003C		3.7156	1940.561	0.266	0.225	11	5
YJR004C	SAG1	2.1971	260.011	0.272	0.395	12	0
YJR005C-A	LSO1	0.0468	1.208	0.385	0.566	3	0
YJR005W	APL1	3.4305	1648.728	0.277	0.233	12	4
YJR006W	POL31	2.8112	639.770	0.256	0.310	12	4
YJR007W	SUI2	18.3609	21351.384	0.257	0.214	13	7
YJR008W	MHO1	1.8175	374.010	0.262	0.300	13	3
YJR009C	TDH2	154.3609	355310.809	0.244	0.233	12	11
YJR010C-A	SPC1	3.1734	2319.920	0.243	0.229	10	6
YJR010W	MET3	3.1363	2446.203	0.259	0.252	12	6
YJR011C		1.2018	423.893	0.269	0.279	11	3
YJR012C		1.9796	340.644	0.242	0.289	11	1
YJR013W	GPI14	3.2890	1157.202	0.271	0.298	11	2
YJR014W	TMA22	11.1065	12629.595	0.295	0.217	13	7
YJR015W		7.8392	1442.335	0.257	0.212	13	5
YJR016C	ILV3	22.9046	50244.773	0.252	0.192	13	10
YJR017C	ESS1	7.0276	4698.831	0.250	0.226	12	7
YJR019C	TES1	1.6624	319.233	0.257	0.377	11	3
YJR021C	REC107	1.7318	200.553	0.289	0.367	12	1
YJR022W	LSM8	1.5607	580.002	0.256	0.291	9	3
YJR024C	MDE1	5.5250	1285.234	0.251	0.297	11	5
YJR025C	BNA1	6.9606	3220.643	0.277	0.318	13	7
YJR026W		1.7220	187.968	0.291	0.384	4	0
YJR027W		3.9388	462.530	0.250	0.332	7	0
YJR028W		2.3291	350.384	0.302	0.364	6	1
YJR029W		3.6027	466.521	0.273	0.355	8	0
YJR030C		1.8091	201.259	0.296	0.404	10	0
YJR031C	GEA1	2.9982	1362.084	0.231	0.230	12	4
YJR032W	CPR7	4.2485	2154.700	0.272	0.256	11	5
YJR033C	RAV1	2.1303	665.300	0.227	0.240	12	5
YJR034W	PET191	1.7418	331.149	0.248	0.378	11	3
YJR035W	RAD26	1.0447	168.916	0.303	0.382	9	2
YJR036C	HUL4	0.7389	73.211	0.269	0.472	12	0
YJR039W		0.9621	88.618	0.295	0.452	11	0
YJR040W	GEF1	2.1681	381.464	0.291	0.366	11	3
YJR041C	URB2	3.2661	1700.592	0.267	0.226	12	6
YJR042W	NUP85	4.9269	3374.680	0.252	0.251	11	5
YJR043C	POL32	2.7069	955.470	0.278	0.348	11	5
YJR044C	VPS55	8.7935	2611.822	0.233	0.237	13	2
YJR045C	SSC1	25.3178	20322.911	0.267	0.352	13	7
YJR046W	TAH11	2.7467	853.290	0.262	0.310	11	3
YJR047C	ANB1	6.6749	4150.780	0.250	0.224	11	7
YJR048W	CYC1	6.0379	4205.845	0.247	0.211	12	7
YJR049C	UTR1	4.5206	2120.412	0.232	0.229	12	5
YJR050W	ISY1	3.0285	962.966	0.278	0.292	11	3
YJR051W	OSM1	3.2083	847.381	0.236	0.285	12	6
YJR052W	RAD7	1.7037	441.674	0.228	0.298	12	4
YJR053W	BFA1	0.8977	247.673	0.250	0.330	9	2
YJR054W	KCH1	2.3313	351.896	0.260	0.302	11	1
YJR055W	HIT1	2.4900	871.171	0.275	0.304	11	3
YJR056C		2.1656	477.043	0.275	0.311	11	1
YJR057W	CDC8	3.6103	1322.910	0.287	0.310	11	3
YJR058C	APS2	3.5152	802.102	0.250	0.314	11	2
YJR059W	PTK2	5.7648	3337.617	0.254	0.231	13	6
YJR060W	CBF1	4.5316	4234.625	0.269	0.242	10	7
YJR061W		0.7749	72.477	0.256	0.397	9	1
YJR062C	NTA1	2.5844	926.015	0.258	0.296	11	4
YJR063W	RPA12	8.0587	8842.077	0.271	0.238	12	6
YJR064W	CCT5	8.5090	3298.912	0.277	0.298	12	7
YJR065C	ARP3	11.1284	5000.751	0.236	0.283	13	6
YJR066W	TOR1	2.7153	683.298	0.284	0.298	11	4
YJR067C	YAE1	3.0995	1304.330	0.222	0.248	11	4
YJR068W	RFC2	5.4122	2664.429	0.257	0.230	11	5
YJR069C	HAM1	6.6256	5048.134	0.272	0.252	13	7
YJR070C	LIA1	21.9042	29396.236	0.252	0.240	13	9
YJR072C	NPA3	7.2184	6680.411	0.248	0.221	12	5
YJR073C	OPI3	6.7914	2762.604	0.240	0.239	13	5
YJR074W	MOG1	3.2309	1024.220	0.278	0.269	13	3
YJR075W	HOC1	6.5863	2788.278	0.277	0.218	12	6
YJR076C	CDC11	6.4442	5803.697	0.251	0.272	12	6
YJR077C	MIR1	14.5770	11826.721	0.248	0.269	13	7
YJR078W	BNA2	0.8369	109.745	0.332	0.320	9	2
YJR079W		1.1328	229.773	0.281	0.300	9	1
YJR080C	AIM24	3.1507	1221.020	0.245	0.238	11	5
YJR082C	EAF6	3.0652	596.645	0.253	0.325	12	3
YJR083C	ACF4	2.3969	938.437	0.227	0.246	12	4
YJR084W		2.6086	771.027	0.271	0.267	13	3
YJR085C		9.7572	2646.409	0.253	0.230	12	4
YJR086W	STE18	6.4888	3432.951	0.249	0.221	12	4
YJR088C	EMC2	6.5396	5692.510	0.282	0.235	11	6
YJR089W	BIR1	1.2583	194.745	0.251	0.396	10	3
YJR090C	GRR1	2.4756	390.463	0.238	0.358	12	3
YJR091C	JSN1	3.6586	1532.133	0.232	0.220	11	7
YJR092W	BUD4	2.8179	1101.039	0.244	0.241	11	4
YJR093C	FIP1	2.8174	893.951	0.244	0.290	12	3
YJR094C	IME1	0.8953	84.440	0.304	0.402	10	0
YJR094W-A	RPL43B	25.5154	32022.985	0.284	0.269	7	4
YJR095W	SFC1	0.2653	25.271	0.295	0.385	8	1
YJR096W		3.4720	1911.631	0.244	0.284	12	4
YJR097W	JJJ3	2.0452	887.450	0.278	0.210	11	3
YJR098C		1.6658	469.215	0.254	0.272	11	4
YJR099W	YUH1	2.2523	550.491	0.268	0.379	9	2
YJR100C	AIM25	2.0111	348.625	0.281	0.355	10	2
YJR101W	RSM26	5.6600	2360.992	0.220	0.243	13	6
YJR102C	VPS25	1.9424	216.516	0.248	0.386	12	0
YJR103W	URA8	4.6267	1769.432	0.237	0.226	13	8
YJR104C	SOD1	57.5953	158757.408	0.228	0.240	13	10
YJR105W	ADO1	22.9001	40629.191	0.266	0.236	13	10
YJR106W	ECM27	1.1524	126.599	0.319	0.471	11	0
YJR107W		1.6518	213.233	0.273	0.376	11	0
YJR108W	ABM1	0.8906	93.396	0.239	0.380	9	0
YJR109C	CPA2	6.9750	11375.769	0.243	0.229	12	9
YJR110W	YMR1	1.7198	441.961	0.273	0.329	11	3
YJR111C		2.5129	769.707	0.286	0.285	12	3
YJR112W	NNF1	3.0478	1250.692	0.239	0.231	11	4
YJR112W-A		0.5390	39.551	0.369	0.448	3	0
YJR113C	RSM7	4.8908	2019.250	0.264	0.254	12	4
YJR115W		1.6436	190.885	0.263	0.366	12	0
YJR116W	TDA4	3.1000	644.266	0.290	0.258	13	1
YJR117W	STE24	12.2572	14416.820	0.241	0.225	13	8
YJR118C	ILM1	5.0228	1131.166	0.256	0.233	13	5
YJR119C	JHD2	1.1681	200.237	0.244	0.311	11	2
YJR120W		1.7787	209.437	0.306	0.371	9	0
YJR121W	ATP2	27.9745	50328.019	0.264	0.205	13	10
YJR122W	IBA57	2.2096	741.734	0.267	0.301	11	3
YJR123W	RPS5	44.3639	31730.726	0.301	0.412	11	8
YJR124C		2.4271	315.359	0.276	0.377	11	2
YJR125C	ENT3	5.6925	1713.810	0.249	0.310	12	6
YJR126C	VPS70	3.2752	330.127	0.290	0.315	13	1
YJR127C	RSF2	2.3078	372.330	0.247	0.388	12	1
YJR129C	EFM3	1.3978	439.296	0.266	0.306	11	4
YJR130C	STR2	2.6179	856.410	0.239	0.262	12	3
YJR131W	MNS1	2.5508	1764.796	0.246	0.238	11	5
YJR132W	NMD5	3.6969	3196.404	0.240	0.229	12	6
YJR133W	XPT1	3.8179	959.958	0.257	0.268	11	4
YJR134C	SGM1	2.9751	637.149	0.276	0.285	12	3
YJR135C	MCM22	1.1995	308.640	0.258	0.303	11	2
YJR135W-A	TIM8	1.4251	316.630	0.298	0.366	6	5
YJR136C	TTI2	1.7709	476.372	0.252	0.337	10	2
YJR137C	MET5	3.1512	1764.697	0.258	0.248	11	8
YJR138W	IML1	1.5338	306.716	0.274	0.317	10	3
YJR139C	HOM6	21.5760	21358.023	0.248	0.211	13	9
YJR140C	HIR3	1.5805	417.510	0.261	0.330	9	5
YJR141W		1.4931	150.140	0.300	0.387	10	0
YJR142W		2.3174	473.497	0.298	0.311	11	3
YJR143C	PMT4	9.6893	2428.501	0.240	0.285	13	6
YJR144W	MGM101	5.9931	1691.561	0.279	0.384	12	5
YJR145C	RPS4A	55.1772	39422.153	0.249	0.217	12	4
YJR147W	HMS2	2.9131	1099.270	0.272	0.238	10	2
YJR148W	BAT2	20.0881	22601.748	0.237	0.239	13	10
YJR149W		1.5507	233.472	0.277	0.318	10	3
YJR150C	DAN1	0.5358	40.073	0.288	0.418	8	0
YJR151C	DAN4	1.5177	193.524	0.272	0.363	11	1
YJR151W-A		0.0909	3.141	0.344	0.487	2	0
YJR152W	DAL5	1.4329	176.298	0.338	0.404	11	1
YJR153W	PGU1	0.7686	92.833	0.291	0.391	10	1
YJR154W		0.9133	226.842	0.276	0.341	9	1
YJR155W	AAD10	0.7437	69.630	0.289	0.418	10	0
YJR156C	THI11	0.6450	132.346	0.274	0.310	7	1
YJR158W	HXT16	0.1634	7.617	0.313	0.399	5	0
YJR159W	SOR1	0.4616	34.916	0.283	0.393	7	0
YJR160C	MPH3	0.7166	58.505	0.281	0.403	8	0
YJR161C	COS5	1.8254	385.923	0.283	0.286	9	2
YKL001C	MET14	3.4970	1336.210	0.248	0.286	11	6
YKL002W	DID4	4.9708	1288.486	0.251	0.266	13	4
YKL003C	MRP17	3.4480	529.188	0.282	0.364	12	2
YKL004W	AUR1	9.4031	4730.572	0.229	0.207	13	3
YKL005C	BYE1	2.1390	543.282	0.261	0.265	11	4
YKL006C-A	SFT1	2.6002	995.141	0.270	0.254	8	3
YKL006W	RPL14A	34.0503	53608.565	0.247	0.234	11	6
YKL007W	CAP1	7.8940	5326.614	0.245	0.260	12	8
YKL008C	LAC1	6.7018	4173.144	0.276	0.250	12	5
YKL009W	MRT4	14.0766	10719.908	0.228	0.235	13	6
YKL010C	UFD4	2.9189	1696.005	0.236	0.244	11	6
YKL011C	CCE1	1.1403	159.274	0.289	0.386	10	1
YKL012W	PRP40	3.6807	754.574	0.252	0.345	11	2
YKL013C	ARC19	8.6135	5847.622	0.241	0.245	12	7
YKL014C	URB1	4.3014	3524.221	0.250	0.211	12	8
YKL015W	PUT3	2.1733	483.495	0.269	0.314	11	2
YKL016C	ATP7	9.4993	7621.581	0.248	0.219	12	8
YKL017C	HCS1	1.5231	441.486	0.304	0.311	10	4
YKL018C-A		1.4697	589.001	0.260	0.255	5	4
YKL018W	SWD2	2.8191	705.228	0.278	0.301	11	4
YKL019W	RAM2	3.8391	719.892	0.245	0.323	12	3
YKL020C	SPT23	2.1218	456.985	0.255	0.279	10	5
YKL021C	MAK11	5.2401	3135.321	0.263	0.240	10	5
YKL022C	CDC16	2.5548	1140.402	0.246	0.278	11	4
YKL023C-A		0.6033	82.482	0.296	0.373	3	2
YKL023W		2.3447	905.292	0.256	0.227	12	4
YKL024C	URA6	10.0193	5452.719	0.259	0.264	13	7
YKL025C	PAN3	4.2622	1688.450	0.268	0.224	12	5
YKL026C	GPX1	0.9159	89.751	0.272	0.405	11	0
YKL027W	TCD2	3.7238	2388.001	0.237	0.240	12	5
YKL028W	TFA1	6.8099	5402.519	0.258	0.244	12	4
YKL029C	MAE1	8.6932	7349.761	0.244	0.233	11	9
YKL032C	IXR1	5.9177	3431.244	0.259	0.292	12	4
YKL033W	TTI1	1.5580	365.691	0.251	0.309	10	3
YKL033W-A		5.0171	1565.189	0.292	0.353	7	4
YKL034W	TUL1	2.3417	319.335	0.287	0.387	12	2
YKL035W	UGP1	18.6666	19844.787	0.259	0.277	12	9
YKL037W	AIM26	0.5912	40.257	0.310	0.440	7	0
YKL038W	RGT1	1.9611	278.970	0.258	0.310	11	2
YKL039W	PTM1	5.3297	1068.052	0.275	0.360	13	2
YKL040C	NFU1	5.5186	5530.991	0.234	0.209	11	7
YKL041W	VPS24	3.8307	1977.179	0.246	0.229	12	5
YKL042W	SPC42	1.5072	326.864	0.285	0.358	11	3
YKL043W	PHD1	4.6460	928.883	0.247	0.309	12	2
YKL045W	PRI2	2.4957	521.445	0.264	0.352	12	2
YKL046C	DCW1	8.7122	4452.775	0.286	0.211	13	4
YKL047W	ANR2	2.2835	821.450	0.270	0.282	12	4
YKL048C	ELM1	1.1951	189.563	0.275	0.340	11	3
YKL049C	CSE4	2.2937	861.823	0.234	0.262	10	2
YKL050C		0.4910	47.880	0.327	0.413	7	1
YKL051W	SFK1	3.9611	1369.947	0.242	0.270	13	3
YKL052C	ASK1	3.7630	2041.843	0.249	0.238	10	4
YKL053C-A	MDM35	4.5301	2074.661	0.228	0.231	9	6
YKL054C	DEF1	14.3038	20251.187	0.273	0.216	12	9
YKL055C	OAR1	1.2185	355.985	0.273	0.290	9	3
YKL056C	TMA19	67.8491	112118.214	0.219	0.230	13	10
YKL057C	NUP120	3.0357	582.338	0.264	0.334	12	3
YKL058W	TOA2	5.2751	2504.241	0.263	0.201	11	5
YKL059C	MPE1	3.3539	1169.755	0.256	0.218	11	5
YKL060C	FBA1	253.0103	1290812.006	0.256	0.235	12	11
YKL061W	BLI1	2.6111	1099.269	0.255	0.242	11	4
YKL062W	MSN4	3.5886	709.792	0.283	0.319	13	2
YKL063C		4.8902	1562.966	0.242	0.239	10	6
YKL064W	MNR2	3.1281	622.523	0.258	0.251	12	4
YKL065C	YET1	11.0998	7525.092	0.266	0.249	13	5
YKL065W-A		0.2301	21.206	0.380	0.455	3	1
YKL067W	YNK1	9.1441	9403.179	0.282	0.198	10	9
YKL068W	NUP100	3.9737	1646.622	0.281	0.259	11	6
YKL068W-A		0.6283	47.512	0.341	0.448	4	0
YKL069W		3.2949	1875.969	0.230	0.238	11	5
YKL070W		0.6546	59.534	0.290	0.408	9	0
YKL071W		2.6848	7884.733	0.262	0.257	11	2
YKL072W	STB6	1.6442	263.477	0.259	0.312	11	2
YKL073W	LHS1	4.0647	787.443	0.247	0.265	12	7
YKL074C	MUD2	2.8820	1155.019	0.284	0.287	11	3
YKL075C		1.5622	266.890	0.249	0.277	10	5
YKL077W		8.3910	4571.365	0.229	0.207	12	6
YKL078W	DHR2	2.1412	534.841	0.258	0.275	11	3
YKL079W	SMY1	2.7026	1407.418	0.264	0.233	11	4
YKL080W	VMA5	17.3105	18077.184	0.259	0.205	12	8
YKL081W	TEF4	56.4426	91043.269	0.241	0.211	13	9
YKL082C	RRP14	4.9645	1242.922	0.309	0.353	10	3
YKL084W	HOT13	4.1527	851.612	0.249	0.329	12	3
YKL085W	MDH1	14.3125	13354.013	0.244	0.237	13	8
YKL086W	SRX1	1.0360	209.188	0.299	0.340	10	2
YKL087C	CYT2	3.4462	525.317	0.284	0.345	13	2
YKL088W	CAB3	3.2439	2089.196	0.265	0.244	11	7
YKL089W	MIF2	2.0072	694.219	0.244	0.260	11	3
YKL090W	CUE2	1.2143	147.171	0.297	0.414	12	2
YKL091C		2.4648	981.714	0.232	0.318	11	4
YKL092C	BUD2	1.5278	681.141	0.221	0.236	11	6
YKL093W	MBR1	0.8204	109.202	0.228	0.324	10	1
YKL094W	YJU3	8.2169	4703.288	0.260	0.217	13	5
YKL095W	YJU2	1.3459	457.953	0.267	0.324	11	2
YKL096C-B		0.2421	15.021	0.346	0.439	4	0
YKL096W	CWP1	13.3488	9476.504	0.271	0.232	12	5
YKL096W-A	CWP2	16.0150	22989.364	0.251	0.258	7	1
YKL098W	MTC2	1.4685	201.581	0.295	0.355	11	1
YKL099C	UTP11	4.7948	1136.499	0.236	0.331	12	3
YKL100C	YPF1	4.6569	1121.165	0.266	0.357	13	3
YKL101W	HSL1	2.9945	627.093	0.262	0.341	11	2
YKL103C	APE1	3.3223	2065.480	0.265	0.242	12	7
YKL104C	GFA1	9.9263	6562.826	0.265	0.284	13	7
YKL105C	SEG2	1.8588	464.913	0.298	0.298	11	3
YKL106C-A		0.0679	2.311	0.435	0.532	2	0
YKL106W	AAT1	3.9576	1915.232	0.262	0.254	11	5
YKL107W		0.2906	15.968	0.291	0.459	7	0
YKL108W	SLD2	1.5371	284.612	0.265	0.309	11	1
YKL109W	HAP4	3.6988	461.867	0.303	0.399	12	0
YKL110C	KTI12	4.1781	2026.411	0.254	0.221	11	5
YKL112W	ABF1	5.5865	4073.467	0.269	0.223	10	6
YKL113C	RAD27	3.8799	2200.824	0.264	0.228	11	6
YKL114C	APN1	5.3651	2685.137	0.247	0.308	11	6
YKL116C	PRR1	3.0370	1362.655	0.242	0.233	12	4
YKL117W	SBA1	22.6327	34661.100	0.221	0.235	12	10
YKL119C	VPH2	4.7414	1458.454	0.264	0.300	12	3
YKL120W	OAC1	7.3665	7280.217	0.224	0.238	12	6
YKL121W	DGR2	1.8728	365.945	0.283	0.294	11	3
YKL122C	SRP21	10.1607	4754.116	0.224	0.219	12	7
YKL124W	SSH4	1.6221	261.442	0.262	0.285	11	2
YKL125W	RRN3	2.4222	274.211	0.247	0.259	11	3
YKL126W	YPK1	6.8504	4530.793	0.260	0.236	13	7
YKL127W	PGM1	8.4410	5010.282	0.247	0.227	13	9
YKL128C	PMU1	5.3587	3068.433	0.277	0.213	12	6
YKL129C	MYO3	2.1660	1117.860	0.246	0.219	10	6
YKL130C	SHE2	5.3175	2278.283	0.227	0.237	11	5
YKL132C	RMA1	1.1517	130.667	0.301	0.457	11	1
YKL133C		1.0777	114.551	0.284	0.409	12	1
YKL134C	OCT1	1.4994	531.091	0.268	0.310	10	3
YKL135C	APL2	4.8215	2555.633	0.250	0.242	11	8
YKL137W	CMC1	3.4443	613.569	0.268	0.294	11	6
YKL138C	MRPL31	4.7882	2038.000	0.260	0.222	11	4
YKL138C-A	HSK3	0.6456	76.546	0.301	0.353	4	1
YKL139W	CTK1	2.1570	530.912	0.252	0.248	11	5
YKL140W	TGL1	4.5002	1306.198	0.218	0.295	13	5
YKL141W	SDH3	6.1064	1028.515	0.250	0.304	12	4
YKL142W	MRP8	10.2333	6111.674	0.269	0.221	12	8
YKL143W	LTV1	4.0935	2123.396	0.257	0.240	12	5
YKL144C	RPC25	3.7191	821.978	0.274	0.304	12	4
YKL145W	RPT1	11.7171	6298.338	0.241	0.218	13	8
YKL146W	AVT3	3.6673	935.372	0.228	0.270	12	3
YKL148C	SDH1	3.9087	2667.403	0.241	0.266	12	7
YKL149C	DBR1	2.3547	569.319	0.232	0.278	12	2
YKL150W	MCR1	6.5863	2681.875	0.284	0.303	13	8
YKL151C		5.1136	2084.259	0.255	0.297	13	6
YKL152C	GPM1	175.5065	367414.835	0.262	0.235	12	10
YKL154W	SRP102	4.9516	4877.983	0.251	0.210	10	6
YKL155C	RSM22	2.6307	955.928	0.216	0.231	11	4
YKL156W	RPS27A	35.7515	49426.987	0.257	0.232	12	5
YKL157W	APE2	9.4806	6100.683	0.268	0.235	12	7
YKL159C	RCN1	2.1758	507.831	0.281	0.330	12	3
YKL160W	ELF1	9.4653	4689.094	0.231	0.228	12	4
YKL161C	KDX1	1.6844	256.070	0.305	0.363	11	1
YKL162C		1.0715	229.839	0.251	0.322	11	1
YKL163W	PIR3	3.4666	480.194	0.274	0.382	12	0
YKL164C	PIR1	20.6994	7025.803	0.244	0.241	12	4
YKL165C	MCD4	3.4880	1614.267	0.294	0.258	9	5
YKL166C	TPK3	4.0478	1600.219	0.228	0.247	12	4
YKL167C	MRP49	3.5237	1889.520	0.255	0.245	11	3
YKL168C	KKQ8	2.5741	628.781	0.275	0.266	11	3
YKL170W	MRPL38	4.0379	1347.827	0.238	0.223	11	4
YKL171W	NNK1	1.1995	127.899	0.276	0.369	10	0
YKL172W	EBP2	6.9620	1982.511	0.268	0.327	12	5
YKL173W	SNU114	2.4771	787.854	0.257	0.216	12	6
YKL174C	TPO5	2.2700	368.328	0.259	0.372	11	2
YKL175W	ZRT3	5.7602	1022.724	0.260	0.320	11	2
YKL176C	LST4	3.5629	457.497	0.214	0.389	11	1
YKL178C	STE3	0.7737	100.598	0.280	0.397	9	1
YKL179C	COY1	3.9836	1978.677	0.245	0.226	12	7
YKL180W	RPL17A	39.0679	40080.025	0.245	0.248	11	6
YKL181W	PRS1	17.1076	8801.797	0.257	0.234	13	8
YKL182W	FAS1	28.9786	65649.574	0.226	0.231	13	9
YKL183C-A		0.3193	22.662	0.341	0.465	4	0
YKL183W	LOT5	3.4166	1496.594	0.242	0.229	11	4
YKL184W	SPE1	5.6978	1225.260	0.241	0.313	13	4
YKL185W	ASH1	4.7842	1113.146	0.262	0.299	12	2
YKL186C	MTR2	4.4237	884.392	0.275	0.320	13	2
YKL187C	FAT3	0.8204	82.083	0.320	0.464	11	1
YKL188C	PXA2	0.6242	64.930	0.273	0.415	10	1
YKL189W	HYM1	1.9706	680.199	0.264	0.233	11	4
YKL190W	CNB1	7.4940	3420.011	0.235	0.236	12	4
YKL191W	DPH2	6.3617	3111.199	0.272	0.236	13	5
YKL192C	ACP1	14.6246	20000.005	0.221	0.212	12	6
YKL193C	SDS22	4.7096	2790.335	0.221	0.216	12	7
YKL194C	MST1	1.8981	521.057	0.261	0.328	11	3
YKL195W	MIA40	6.8939	2822.373	0.251	0.246	11	8
YKL196C	YKT6	9.8628	3535.885	0.242	0.313	12	5
YKL197C	PEX1	1.9636	874.834	0.209	0.250	12	5
YKL198C	PTK1	1.8923	329.931	0.286	0.404	10	2
YKL201C	MNN4	1.4998	249.848	0.263	0.348	9	3
YKL203C	TOR2	1.9453	362.282	0.261	0.390	11	4
YKL204W	EAP1	4.9188	3256.615	0.249	0.191	11	9
YKL205W	LOS1	3.5932	1545.035	0.232	0.245	10	5
YKL206C	ADD66	3.7438	1737.528	0.242	0.234	10	5
YKL207W	EMC3	6.4442	1238.574	0.243	0.349	12	2
YKL208W	CBT1	1.2967	133.830	0.284	0.418	11	0
YKL209C	STE6	5.8364	2412.770	0.246	0.270	11	3
YKL210W	UBA1	18.0377	29537.935	0.265	0.220	13	10
YKL211C	TRP3	6.8257	8575.468	0.233	0.240	11	8
YKL212W	SAC1	11.6761	15816.680	0.258	0.189	13	8
YKL213C	DOA1	5.3045	2475.915	0.238	0.247	13	4
YKL214C	YRA2	3.5841	1129.660	0.238	0.337	13	5
YKL215C	OXP1	3.0037	1887.493	0.243	0.249	11	8
YKL216W	URA1	28.7102	78773.984	0.252	0.241	12	9
YKL217W	JEN1	1.3430	223.644	0.261	0.336	12	1
YKL218C	SRY1	1.7059	426.920	0.268	0.401	10	3
YKL219W	COS9	1.8187	245.610	0.274	0.398	9	1
YKL220C	FRE2	0.8237	73.075	0.320	0.424	11	0
YKL221W	MCH2	0.3490	25.190	0.327	0.412	9	0
YKL222C		1.2353	123.791	0.286	0.382	10	0
YKL224C	PAU16	0.3915	24.265	0.285	0.426	6	0
YKR001C	VPS1	11.2087	9652.989	0.268	0.255	12	8
YKR002W	PAP1	4.4438	3366.407	0.286	0.210	11	7
YKR003W	OSH6	4.9867	2920.907	0.264	0.239	11	5
YKR004C	ECM9	2.3411	481.902	0.257	0.287	11	2
YKR005C		0.7237	65.237	0.280	0.414	10	0
YKR006C	MRPL13	6.2306	3131.851	0.239	0.221	13	5
YKR007W	MEH1	3.4232	2271.776	0.217	0.226	11	5
YKR008W	RSC4	4.7731	4551.423	0.262	0.237	11	6
YKR009C	FOX2	1.0974	131.391	0.294	0.397	9	1
YKR010C	TOF2	1.6524	344.917	0.262	0.262	11	3
YKR011C		3.2553	1008.775	0.275	0.268	12	2
YKR013W	PRY2	8.5754	1448.282	0.273	0.356	12	1
YKR014C	YPT52	9.8330	8641.174	0.254	0.236	11	6
YKR015C		0.3259	22.501	0.318	0.420	8	1
YKR016W	MIC60	4.0829	2005.007	0.280	0.295	12	4
YKR017C	HEL1	1.6070	407.717	0.288	0.325	11	1
YKR018C		5.7476	3730.121	0.249	0.204	11	8
YKR019C	IRS4	1.1048	158.717	0.251	0.369	11	2
YKR020W	VPS51	2.5202	527.312	0.256	0.301	11	3
YKR021W	ALY1	2.0363	405.298	0.279	0.294	11	3
YKR022C	NTR2	1.3412	333.896	0.285	0.308	11	2
YKR023W		1.8718	832.731	0.271	0.228	11	5
YKR024C	DBP7	3.3208	1723.249	0.236	0.235	11	7
YKR025W	RPC37	5.6090	2587.565	0.262	0.231	12	5
YKR026C	GCN3	7.0410	5702.248	0.242	0.226	12	8
YKR027W	BCH2	2.7337	846.901	0.273	0.301	12	3
YKR028W	SAP190	3.7502	925.021	0.279	0.369	10	4
YKR029C	SET3	2.6522	744.889	0.287	0.280	11	4
YKR030W	GMH1	2.7298	341.365	0.290	0.350	12	0
YKR031C	SPO14	1.9769	425.506	0.274	0.227	11	5
YKR034W	DAL80	0.2350	13.345	0.323	0.460	8	0
YKR035W-A	DID2	3.8932	2737.942	0.262	0.244	7	6
YKR036C	CAF4	2.5527	557.419	0.272	0.268	12	3
YKR037C	SPC34	2.1961	661.853	0.234	0.260	11	3
YKR038C	KAE1	4.4715	2057.852	0.240	0.238	12	6
YKR039W	GAP1	2.0641	445.662	0.294	0.382	12	3
YKR041W		0.7424	104.990	0.290	0.370	7	1
YKR042W	UTH1	40.1030	24763.197	0.239	0.239	13	5
YKR043C	SHB17	14.6409	10095.524	0.249	0.223	13	9
YKR044W	UIP5	1.9721	276.927	0.302	0.279	10	1
YKR045C		1.8986	505.030	0.237	0.263	10	1
YKR046C	PET10	3.8036	1721.165	0.228	0.288	12	6
YKR048C	NAP1	12.0679	10705.570	0.238	0.208	12	8
YKR049C	FMP46	4.4951	1262.446	0.238	0.313	12	4
YKR050W	TRK2	1.6751	197.088	0.277	0.399	11	0
YKR051W		1.7640	191.375	0.329	0.414	11	0
YKR052C	MRS4	2.7606	1348.003	0.201	0.230	11	4
YKR053C	YSR3	1.6474	380.065	0.275	0.348	11	1
YKR054C	DYN1	1.5059	231.941	0.253	0.283	11	4
YKR055W	RHO4	2.0733	358.864	0.228	0.347	11	3
YKR056W	TRM2	3.7985	923.877	0.325	0.392	12	2
YKR057W	RPS21A	50.6429	54281.007	0.214	0.201	12	5
YKR058W	GLG1	1.8029	253.619	0.261	0.375	10	1
YKR059W	TIF1	41.8153	72665.561	0.242	0.244	11	6
YKR060W	UTP30	4.4128	2099.228	0.239	0.232	12	4
YKR061W	KTR2	2.0265	241.577	0.235	0.414	12	0
