# scer_aggregation_psup_long.txt 
# Generated:  Tue Feb 19 18:22:52 2019 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment id; temperature, time, and replicate
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.t: summed intensity for total (light) channel
#   intensity.s: summed intensity for supernatant (medium) channel
#   intensity.p: summed intensity for pellet (heavy) channel
#   psup: normalized proportion in supernatant
#   psup.lo: normalized 2.5% percentile of psup
#   psup.hi: normalized 97.5% percentile of psup
# 
orf	gene	experiment	n.detections	n.peptides	intensity.t	intensity.s	intensity.p	psup	psup.lo	psup.hi
YAL017W	PSK1	30C.rep3	0	1	NA	NA	NA	0.9868	0.5952	1
YAL017W	PSK1	42C.8min	1	1	128400000	148630000	15394000	0.8654	0.3549	0.9897
YAL017W	PSK1	46C.2min	3	2	41736400	24282400	3157320	0.889	0.6348	0.9738
YAL017W	PSK1	46C.4min	8	5	45905270	80107079.9999999	39050110	0.5732	0.4375	0.7086
YAL019W	FUN30	30C.rep1	3	4	11833280	11110000	1407760	0.8135	0.5991	0.9254
YAL019W	FUN30	30C.rep3	0	1	NA	NA	NA	0.963	0.3021	1
YAL019W	FUN30	46C.2min	1	1	2389900	154020	533550	0.0625	0.0113	0.3338
YAL019W	FUN30	46C.4min	6	4	20544550	4235790	14527980	0.1935	0.1107	0.3177
YAL021C	CCR4	30C.rep1	12	7	42328610	55728130	15375630	0.6919	0.5679	0.7873
YAL021C	CCR4	30C.rep2	1	1	6975000	4924600	1019200	0.8335	0.4758	0.9665
YAL021C	CCR4	30C.rep3	1	1	1575500	1199400	224050	0.8066	0.2178	0.989
YAL021C	CCR4	46C.2min	3	2	35500300	20759000	25560500	0.3859	0.1555	0.7004
YAL021C	CCR4	46C.4min	7	5	42965560	28807940	25488090	0.5184	0.3696	0.6732
YAL021C	CCR4	46C.8min	2	2	1013510	843200	1620580	0.3266	0.1562	0.5712
YAL022C	FUN26	30C.rep1	1	1	90684	610600	842630	0.4667	0.203	0.7707
YAL022C	FUN26	30C.rep2	1	1	38557	163880	539990	0.3516	0.1189	0.685
YAL022C	FUN26	46C.2min	1	1	5802300	3536900	1199400	0.5805	0.1484	0.9343
YAL022C	FUN26	46C.4min	1	1	796550	4121500	2671600	0.6096	0.2745	0.8681
YAL023C	PMT2	30C.rep1	12	5	62479430	7350040	116663430	0.0549	0.0373	0.0802
